accuracy,f1,recall,precisoin,attribute
0.9139784946236559,0.33333333333333337,0.2,1.0,別名
0.6774193548387096,0.6153846153846153,0.4444444444444444,1.0,植物
0.8214285714285714,0.0,0.0,0.0,産業
0.6949152542372882,0.64,0.5,0.8888888888888888,種類
0.7741935483870968,0.0,0.0,0.0,観光地
0.75,0.7272727272727272,0.5925925925925926,0.9411764705882353,流入・流出河川
0.7868852459016393,0.7450980392156863,0.59375,1.0,国
0.7090909090909091,0.5555555555555556,0.4,0.9090909090909091,動物
0.8235294117647058,0.6470588235294118,0.5,0.9166666666666666,所在地
0.9555555555555556,0.7499999999999999,0.6,1.0,成因
0.8571428571428571,0.8571428571428571,0.75,1.0,貯水量
0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,橋・トンネル
0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8571428571428571,水質（淡水・汽水）
1.0,1.0,1.0,1.0,透明度
0.7647058823529411,0.33333333333333337,0.2,1.0,形成時期
0.9090909090909091,0.33333333333333337,0.2,1.0,島
0.711864406779661,0.0,0.0,0.0,湖岸の地域区分
0.9333333333333333,0.6666666666666666,0.5,1.0,幅
0.4,0.0,0.0,0.0,構成する湖沼
0.75,0.8,0.6666666666666666,1.0,周囲長
1.0,1.0,1.0,1.0,面積
0.9090909090909091,0.0,0.0,0.0,名前の謂れ
0.8666666666666667,0.875,0.875,0.875,最大水深
0.8333333333333334,0.9090909090909091,0.8333333333333334,1.0,読み
0.8461538461538461,0.6666666666666666,1.0,0.5,公園
1.0,1.0,1.0,1.0,水面標高
0.75,0.0,0.0,0.0,長さ
0.6666666666666666,0.0,0.0,0.0,水深
0.5,0.4,0.25,1.0,平均水深
0.0,0.0,0.0,0.0,国内位置
