,page_id,title,attribute,text_offset_start_line_id,text_offset_start_offset,text_text,html_offset_start_line_id,html_offset_start_offset,html_text,text_offset_end_line_id,text_offset_end_offset,html_offset_end_line_id,html_offset_end_offset,system_03011,system_10011,system_05010,system_07011,system_02010,system_01011,text_offset_start,text_offset_end,html_offset_start,html_offset_end,correct,worker_Lns201407,worker_marble00,worker_tokumei3578,worker_MasatoYoshihara,worker_kisaran455,worker_diamante007,worker_stonewood,worker_recluse,worker_hona15,worker_tidy-blues,worker_uni-7188,worker_DNF38,worker_angari14,worker_kanatalanc,worker_bungoya_t,worker_ch_ch,worker_tomur106,worker_tomomintea,worker_kumin1,worker_momo_41049,worker_myu-2,worker_kuruupu,worker_minasenantoka,worker_mmm07r,worker_ubermensch,worker_pssky,worker_bvglp11,worker_nekoNO1,worker_mochachi,worker_huku1,worker_rinaria_tia,worker_kitajima,worker_ekd00,worker_ripmaykoro05one,worker_kitanokenta,worker_dorae1019,worker_asokoha,worker_bpktwn8181,worker_lanamaace,worker_takahiro0655,worker_chihiro999,worker_natsu-68,worker_kyaitokosan2,worker_lan1374,worker_doraiai51,worker_banas,worker_u2424,worker_rechard,worker_hyro_8333,worker_fayefaye,worker_burrell1931,worker_wata_yuki,worker_varacuda,worker_yuna1127,worker_PFOG0112,worker_lc02102,worker_mas_529,worker_akkun1,worker_tapdancemisei,worker_nyantakun,worker_inui,worker_MsaTK84,worker_shoun,worker_fujikao19,worker_kazu_mission,worker_komichi21,worker_hysq77,worker_cubebox,worker_yy-yamazaki,worker_r_a_g_55,worker_m-mon2,worker_ca2_se_9ci,worker_neroli_83574,worker_5c5d6c949acf2,worker_ralance,worker_miumiu-001,worker_imati,worker_suxsun0147,worker_emuxa345,worker_217murakami,worker_peka,worker_toscp,worker_truenoAE101,worker_mayumi_ogiuchi,worker_Kaocang46,worker_monmon333,worker_Luke_Sky,worker_koujikouji44,worker_ai_ka,worker_panpan1,worker_aladdin,worker_tamori,worker_monmon3,worker_tomotw,worker_lanlanshiy,worker_Tea-Sky,worker_cm8672,worker_hiroshi1624,worker_smozby,worker_mosa1017,worker_y-Nishin,worker_makiwo,worker_na-ko51,worker_lcptn15,worker_yukikou,worker_kyoushinrie,worker_mabu3,worker_maf111,worker_kuronyachi,worker_uemon-no-jou,worker_Weetabix,worker_hima_write,worker_kakiagezan,worker_ammer1022,worker_norynory,worker_st001,worker_hiyusutsugeshi,worker_moaimoai,worker_ako819,worker_shamneko,worker_hideo_ueda,worker_schuman48,worker_taberun3,worker_shirochansan,worker_ken_sio_2211,worker_Nao0101,worker_MorryBK,worker_toyo_1968,worker_mumu18650,worker_kusiro509,worker_tamic,worker_beiko777,worker_BK_WORKS,worker_Sato-fr,worker_lanctaro24,worker_lilybenzo810,worker_z129,worker_korokorokun,worker_muzieak1968,worker_m4AfTvGY,worker_kazuya23001,worker_y-ichii,worker_hey8,worker_miniC1kame,count_yes,count_no,count_na,MV
4290,252336,多々良沼,別名,61,43,ヘラブナ,61,232,ヘラブナ,61,47,61,236,,True,,,,,2755,2759,7996,8000,False,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,no
7880,687963,藺牟田池,植物,70,18,ジュンサイ,70,222,ジュンサイ,70,23,70,227,True,True,,,True,,3136,3141,11658,11663,True,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
8392,951230,泡瀬干潟,産業,151,0,漁業,151,65,漁業,151,2,151,67,,,,True,,,8689,8691,30959,30961,False,yes,yes,yes,na,yes,yes,na,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,yes
6444,443223,トバ湖,種類,46,52,カルデラ湖,46,491,カルデラ湖,46,57,46,496,True,True,True,True,True,,2761,2766,10694,10699,True,yes,yes,yes,na,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,1,yes
1200,143182,木崎湖,観光地,82,10,ゆーぷる,82,170,ゆーぷる,82,14,82,174,True,,,,,,3060,3064,14429,14433,False,no,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0,yes
4134,2392372,池ノ内湖,流入・流出河川,58,159,六角川,58,589,六角川,58,162,58,592,True,,,,,,2872,2875,10561,10564,False,,,,,,,,,,,yes,no,no,yes,no,yes,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,yes
172,1054775,チャウバナガンガマウグ湖,国,37,0,アメリカ合衆国,37,101,アメリカ合衆国,37,7,37,108,True,True,True,True,True,,2478,2485,5932,5939,True,,,,,,,,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
7024,54796,カスピ海,流入・流出河川,151,160,ヴォルガ川,151,242,ヴォルガ川,151,165,151,247,True,True,,True,,,16855,16860,63636,63641,False,,,,,,,,,,,yes,no,na,yes,yes,no,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,yes
2145,1772665,エリギギトギン湖,別名,39,33,Salvelinus boganidae,39,163,Salvelinus boganidae,39,53,39,183,,True,,,,,2733,2753,6619,6639,False,,,,,,,,,,,no,no,no,no,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,no
2777,196428,印旛沼,動物,276,66,コイ,276,560,コイ,276,68,276,562,True,,True,True,True,,4723,4725,21344,21346,True,,,,,,,,,,,yes,no,yes,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,yes
7610,666291,天池,種類,47,103,カルデラ湖,47,1787,カルデラ湖,47,108,47,1792,True,True,True,True,True,,6612,6617,15596,15601,True,,yes,,,yes,yes,yes,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
4832,2978850,パウエル湖,所在地,56,28,ワイオミング州,56,217,ワイオミング州,56,35,56,224,,,True,True,,,7450,7457,18408,18415,False,,no,,,yes,no,yes,,,,,,,,,,,,,,yes,yes,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,0,yes
2730,196428,印旛沼,成因,305,5,およそ2万年前、海面が著しく低下していた際に形成された下総台地の侵食谷が起源で、縄文海進時には地盤沈降により溺れ谷となり香取海（古鬼怒湾）と呼ばれた海の一部であった。奈良時代頃には香取海の海退とともに、鬼怒川から洪水によって運搬された土砂が沼へ向って流れ込むなどして（三角州の形成が認められる）、次第に出口がせき止められ沼が形成された,305,8,"およそ2万年前、海面が著しく低下していた際に形成された下総台地の侵食谷が起源で、<a href=""/index.php/%E7%B8%84%E6%96%87%E6%B5%B7%E9%80%B2"" title=""縄文海進"">縄文海進</a>時には地盤沈降により<a href=""/index.php/%E6%BA%BA%E3%82%8C%E8%B0%B7"" class=""mw-redirect"" title=""溺れ谷"">溺れ谷</a>となり<a href=""/index.php/%E9%A6%99%E5%8F%96%E6%B5%B7"" title=""香取海"">香取海</a>（古鬼怒湾）と呼ばれた<a href=""/index.php/%E6%B5%B7"" title=""海"">海</a>の一部であった。奈良時代頃には香取海の<a href=""/index.php/%E6%B5%B7%E9%80%80"" class=""mw-redirect"" title=""海退"">海退</a>とともに、鬼怒川から洪水によって運搬された土砂が沼へ向って流れ込むなどして（三角州の形成が認められる）、次第に出口がせき止められ沼が形成された",305,172,305,520,,,,,True,,5382,5549,25406,25918,False,,yes,,,yes,yes,yes,,,,,,,,,,,,,,yes,no,yes,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0,yes
4220,2493111,香林寺池,流入・流出河川,49,51,浅間川,49,348,浅間川,49,54,49,351,,,,True,True,,2617,2620,7012,7015,True,,no,,,yes,no,no,,,,,,,,,,,,,,yes,no,yes,no,na,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,no
