,page_id,title,attribute,text_offset_start_line_id,text_offset_start_offset,text_text,html_offset_start_line_id,html_offset_start_offset,html_text,text_offset_end_line_id,text_offset_end_offset,html_offset_end_line_id,html_offset_end_offset,system_03011,system_10011,system_05010,system_07011,system_02010,system_01011,text_offset_start,text_offset_end,html_offset_start,html_offset_end,correct
0,1014896,小堤西池,所在地,36,0,愛知県刈谷市井ヶ谷町小堤西1面積,36,0,"愛知県刈谷市井ヶ谷町小堤西1</td></tr><tr class="""" style="""" itemprop=""""><th scope=""row"" style=""text-align:left; white-space:nowrap; background: #cedaf2""><a href=""/index.php/%E9%9D%A2%E7%A9%8D"" title=""面積"">面積",36,16,36,192,True,,,,,,2334,2350,4828,5020,
1,1014896,小堤西池,所在地,39,16,愛知県刈谷市井ヶ谷町小堤西1,39,87,"愛知県</a><a href=""/index.php/%E5%88%88%E8%B0%B7%E5%B8%82"" title=""刈谷市"">刈谷市</a>井ヶ谷町小堤西1",39,30,39,170,True,True,True,True,True,,2498,2512,6485,6568,True
2,1014896,小堤西池,所在地,36,0,愛知県刈谷市井ヶ谷町小堤西1,36,0,愛知県刈谷市井ヶ谷町小堤西1,36,14,36,14,,True,True,True,True,,2334,2348,4828,4842,True
3,1014896,小堤西池,読み,39,5,こづつみにしいけ,39,15,こづつみにしいけ,39,13,39,23,True,True,True,True,True,,2487,2495,6413,6421,True
4,1014896,小堤西池,種類,39,33,水田灌漑用の池,39,244,"水田</a><a href=""/index.php/%E7%81%8C%E6%BC%91"" title=""灌漑"">灌漑</a>用の<a href=""/index.php/%E6%B1%A0"" title=""池"">池",39,40,39,351,True,,,,,,2515,2522,6642,6749,
5,1014896,小堤西池,種類,39,39,池,39,350,池,39,40,39,351,,True,,True,True,,2521,2522,6748,6749,True
6,1014896,小堤西池,種類,39,33,水田,39,244,水田,39,35,39,246,,,,,True,,2515,2517,6642,6644,
7,1014896,小堤西池,種類,39,35,灌漑,39,301,灌漑,39,37,39,303,,,,,True,,2517,2519,6699,6701,
8,1014896,小堤西池,種類,39,37,用,39,307,用,39,38,39,308,,,,,True,,2519,2520,6705,6706,
9,1014896,小堤西池,植物,39,44,カキツバタ,39,440,カキツバタ,39,49,39,445,True,True,,True,True,,2526,2531,6838,6843,True
10,1014896,小堤西池,植物,39,65,カキツバタ,39,616,カキツバタ,39,70,39,621,True,True,,,,,2547,2552,7014,7019,True
11,1014896,小堤西池,植物,56,1,カキツバタ,56,86,カキツバタ,56,6,56,91,True,True,,True,True,,2686,2691,8919,8924,True
12,1014896,小堤西池,植物,57,1,カキツバタ,57,5,カキツバタ,57,6,57,10,True,True,,,True,,2854,2859,9275,9280,True
13,1014896,小堤西池,植物,57,10,ノハナショウブ,57,115,ノハナショウブ,57,17,57,122,True,True,,True,True,,2863,2870,9385,9392,True
14,1014896,小堤西池,植物,57,18,ノカンゾウ,57,228,ノカンゾウ,57,23,57,233,True,True,,True,True,,2871,2876,9498,9503,True
15,1014896,小堤西池,植物,58,20,ヨシ,58,160,ヨシ,58,22,58,162,True,True,True,True,True,,2917,2919,9693,9695,True
16,1014896,小堤西池,植物,58,23,アンペライ,58,258,アンペライ,58,28,58,263,True,True,True,,True,,2920,2925,9791,9796,True
17,1014896,小堤西池,植物,58,35,カキツバタ,58,274,カキツバタ,58,40,58,279,True,True,,,True,,2932,2937,9807,9812,True
18,1014896,小堤西池,植物,59,38,カキツバタ群落,59,187,カキツバタ群落,59,45,59,194,True,,,,,,3086,3093,10480,10487,
19,1014896,小堤西池,植物,39,110,カキツバタ,39,668,カキツバタ,39,115,39,673,,True,,,,,2592,2597,7066,7071,
20,1014896,小堤西池,植物,56,37,カキツバタ,56,126,カキツバタ,56,42,56,131,,True,,,True,,2722,2727,8959,8964,
21,1014896,小堤西池,植物,57,1,カキ,57,5,カキ,57,3,57,7,,True,,,,,2854,2856,9275,9277,
22,1014896,小堤西池,植物,59,38,カキツバタ,59,187,カキツバタ,59,43,59,192,,True,,,True,,3086,3091,10480,10485,
23,1014896,小堤西池,面積,55,4,"20,330m2",55,12,"20,330<a href=""/index.php/%E5%B9%B3%E6%96%B9%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB"" title=""平方メートル"">m<sup>2",55,12,55,116,True,True,,True,True,,2673,2681,8630,8734,True
24,1014896,小堤西池,面積,37,0,0.020330 km2,37,0,"0.020330 <a href=""/index.php/%E5%B9%B3%E6%96%B9%E3%82%AD%E3%83%AD%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB"" title=""平方キロメートル"">km<sup>2",37,12,37,128,,True,,True,True,True,2350,2362,5063,5191,True
25,1014896,小堤西池,観光地,56,32,小堤西池,56,121,小堤西池,56,36,56,125,True,,,,,,2717,2721,8954,8958,
26,1014896,小堤西池,観光地,39,105,小堤西池のカキツバタ群落,39,663,小堤西池のカキツバタ群落,39,117,39,675,,True,,,,,2587,2599,7061,7073,True
27,1014896,小堤西池,観光地,79,0,文部省,79,3,文部省,79,3,79,6,,,,,True,,3492,3495,14341,14344,
28,1014896,小堤西池,動物,58,23,アンペライ,58,258,アンペライ,58,28,58,263,True,,True,,,,2920,2925,9791,9796,
29,1014896,小堤西池,動物,61,1,クサガメ,61,80,クサガメ,61,5,61,84,True,,,True,True,,3109,3113,10694,10698,True
30,1014896,小堤西池,動物,62,1,カルガモ,62,76,カルガモ,62,5,62,80,True,,,True,True,,3114,3118,10783,10787,True
31,1014896,小堤西池,動物,63,1,フナ,63,56,フナ,63,3,63,58,True,,,True,True,,3119,3121,10852,10854,True
32,1014896,小堤西池,動物,64,1,ニホンマムシ,64,96,ニホンマムシ,64,7,64,102,True,,,True,True,,3122,3128,10959,10965,True
33,1014896,小堤西池,動物,66,30,ジネズミ,66,104,ジネズミ,66,34,66,108,True,,,True,True,,3161,3165,11104,11108,True
34,1014896,小堤西池,動物,66,35,ベッコウトンボ,66,214,ベッコウトンボ,66,42,66,221,True,,True,True,True,,3166,3173,11214,11221,True
35,1014896,小堤西池,動物,66,43,セスジイトトンボ,66,337,セスジイトトンボ,66,51,66,345,True,,True,True,True,,3174,3182,11337,11345,True
36,1014896,小堤西池,動物,66,52,モノサシトンボ,66,461,モノサシトンボ,66,59,66,468,True,,True,True,True,,3183,3190,11461,11468,True
37,1014896,小堤西池,動物,66,60,コバネアオイトトンボ,66,663,コバネアオイトトンボ,66,70,66,673,True,,,True,True,,3191,3201,11663,11673,True
38,1014896,小堤西池,動物,66,93,ヨシゴイ,66,916,ヨシゴイ,66,97,66,920,True,,,True,True,,3224,3228,11916,11920,True
39,1014896,小堤西池,動物,66,98,ヒクイナ,66,996,ヒクイナ,66,102,66,1000,True,,,True,True,,3229,3233,11996,12000,True
