,level_0,index,page_id,system_dicision,crowd_dicision,correct,text,attribute,system_out,crowd_out
0,8007,8007,695828,0,0,0,"['北緯', '35', '.', '34417', '度']",島,0.1666666666666666,0.0
1,545,545,1114951,0,0,0,"['25', '.', '76333']",島,0.1666666666666666,0.0
2,2438,2438,192531,1,1,0,"['約', '250', '▁', 'm']",最大水深,0.6666666666666666,0.0
3,423,423,1096642,0,0,0,"['さいたま', '市', '桜', '区']",湖岸の地域区分,0.1666666666666666,0.0
4,1028,1028,141263,0,0,0,['スズキ'],別名,0.1666666666666666,0.0
5,603,603,1154671,1,1,0,"['北緯', '37', '度', '44', '分', '26', '秒']",座標・緯度,0.6666666666666666,0.0
6,2213,2213,183867,0,0,0,"['さ', 'ちの', 'うみ']",読み,0.1666666666666666,0.0
7,4814,4814,2978850,0,0,0,['クワッガガイ'],別名,0.1666666666666666,0.0
8,1719,1719,159245,1,0,0,"['インディアナ', '州', '、', 'イリノイ', '州', '、', 'ウィスコンシン', '州', '、', 'ミシガン', '州']",所在地,0.1666666666666666,0.0
9,4926,4926,2978850,1,0,0,"['コロラド', '高原', '地域']",湖岸の地域区分,0.1666666666666666,0.0
10,6139,6139,399336,0,1,1,['淡水'],水質（淡水・汽水）,0.8333333333333334,0.0
11,4470,4470,27167,0,0,0,['シコテムコ・エアン・パラト'],別名,0.1666666666666666,0.0
12,7537,7537,569950,0,0,1,['池'],種類,0.1666666666666666,0.0
13,1547,1547,1463539,0,0,0,"['平池', '古墳']",観光地,0.1666666666666666,0.0
14,6030,6030,3608508,1,1,0,"['南緯', '37', '.', '25234', '度']",座標・緯度,0.8333333333333334,0.0
15,6154,6154,407959,1,1,0,"['北緯', '11', '.', '617', '度']",座標・緯度,0.6666666666666666,0.0
16,653,653,1163585,0,0,0,"['たか', 'ぬ', 'まとも']",別名,0.1666666666666666,0.0
17,1271,1271,143182,0,0,1,"['2', 'm', 'から', '8', 'm', '程度']",透明度,0.1666666666666666,0.0
18,4932,4932,2978850,1,0,0,"['ケーン', '郡']",湖岸の地域区分,0.3333333333333333,0.0
19,1295,1295,143182,0,0,0,['コイ'],別名,0.1666666666666666,0.0
20,3460,3460,2267968,1,1,0,"['小天', '橋']",橋・トンネル,0.5,0.0
21,2017,2017,172318,0,1,1,['日本'],国,0.8333333333333334,0.0
22,3768,3768,2358976,0,0,0,['火口'],種類,0.1666666666666666,0.0
23,8313,8313,951230,0,0,0,['貝類'],動物,0.1666666666666666,0.0
24,1048,1048,141263,0,0,0,['尾駮沼'],別名,0.1666666666666666,0.0
25,7023,7023,54796,1,1,1,"['ヴォルガ', '川']",流入・流出河川,0.5,0.0
26,6554,6554,486835,1,0,0,"['67', '.']",座標・緯度,0.1666666666666666,0.0
27,4781,4781,2978850,1,1,1,"['Lake', '▁', 'Powell']",別名,0.6666666666666666,0.0
28,7254,7254,54796,0,1,1,['アティラウ'],湖岸の地域区分,0.5,0.0
29,4877,4877,2978850,1,1,0,"['西経', '111', '.', '48417', '度']",座標・経度,0.5,0.0
30,7909,7909,687963,0,0,1,"['県立', '自然', '公園']",公園,0.1666666666666666,0.0
31,8628,8628,97785,1,0,0,"['北緯', '43', '度', '42', '分']",島,0.1666666666666666,0.0
32,26,26,1014896,0,0,1,"['小堤', '西池', 'の', 'カキツバタ', '群落']",観光地,0.1666666666666666,0.0
33,6305,6305,435939,1,1,0,"['東経', '138', '度', '47', '分', '17', '秒']",座標・経度,0.8333333333333334,0.0
34,5737,5737,3299335,0,0,0,"['139', '.', '871074']",座標・経度,0.1666666666666666,0.0
35,3183,3183,2190009,1,1,1,"['人工', '池']",種類,0.6666666666666666,0.0
36,498,498,1114951,0,0,0,['断層'],種類,0.1666666666666666,0.0
37,5940,5940,3550700,1,0,0,['コミュニティ'],湖岸の地域区分,0.1666666666666666,0.0
38,6730,6730,530799,0,0,1,"['御', 'ゾロ', '池']",別名,0.1666666666666666,0.0
39,3643,3643,2280167,1,0,0,"['ステニェ', '＝', 'コニスコ']",湖岸の地域区分,0.1666666666666666,0.0
40,7735,7735,666576,0,1,1,['淡水'],水質（淡水・汽水）,0.8333333333333334,0.0
41,7258,7258,54796,1,0,0,['ウズボイ'],湖岸の地域区分,0.1666666666666666,0.0
42,3125,3125,2159741,1,1,0,"['東経', '90', '.', '683', '度']",座標・経度,0.6666666666666666,0.0
43,7009,7009,54796,0,1,1,"['テレク', '川']",流入・流出河川,0.8333333333333334,0.0
44,3688,3688,2354120,1,0,0,['東経'],座標・経度,0.1666666666666666,0.0
45,971,971,141263,0,1,1,"['青森', '県']",所在地,0.5,0.0
46,6612,6612,512545,0,0,0,"['140', '.', '45972']",座標・経度,0.1666666666666666,0.0
47,5363,5363,312243,0,0,0,"['ポン', '＝', 'ド', '＝', 'ブーク', '市', '(', 'Pont', '-', 'de', '-', 'Bouc', ')', '方面', 'の', 'カロント', '運河', '(', 'le', '▁', 'canal', '▁', 'de', '▁', 'Caronte', ')', 'と', '、', 'エスタック', '街', '区', '(', 'l', ""'"", 'Estaque', ')', '方面', 'の', 'ローヴ', '運河', '(', 'le', '▁', 'canal', '▁', 'de', '▁', 'Rove', ')']",名前の謂れ,0.1666666666666666,0.0
48,3674,3674,2354120,1,1,1,"['滋賀', '県', '高島', '市', '今津', '町', '深清水']",所在地,0.8333333333333334,0.0
49,5490,5490,3249598,0,0,0,"['水', '後', '池']",構成する湖沼,0.1666666666666666,0.0
50,8336,8336,951230,0,0,0,['海草'],動物,0.1666666666666666,0.0
51,2831,2831,196428,1,0,0,"['11', '.', '011', '.', '010', '.', '012', '.', '010', '.', '09', '.', '59', '.', '18', '.', '69', '.', '48', '.', '18', '.', '6118', '.', '58', '.', '68', '.', '91111', '北', '印旛沼', '中央', '9', '.', '510', '.', '012', '.', '011', '.', '010', '.', '09', '.', '48', '.', '89', '.', '09', '.', '49', '.', '89', '.', '211']",透明度,0.1666666666666666,0.0
52,4066,4066,2390786,1,1,1,['カモ'],動物,0.6666666666666666,0.0
53,7532,7532,569950,1,0,0,"['亀', 'ノ', '甲山', 'の', '中腹']",所在地,0.1666666666666666,0.0
54,4597,4597,2802797,0,0,0,"['南', 'アメリカ', '最南端', '部']",所在地,0.1666666666666666,0.0
55,2302,2302,183867,0,0,0,['中'],別名,0.1666666666666666,0.0
56,2968,2968,2032404,1,0,0,"['10', '.', '23250']",島,0.1666666666666666,0.0
57,3292,3292,2239242,1,0,0,"['101', ',', '000', 'm', '³、', '満水']",貯水量,0.1666666666666666,0.0
58,3913,3913,2384665,1,0,0,['灌漑用'],流入・流出河川,0.1666666666666666,0.0
59,1312,1312,143182,0,0,0,['ヤマメ'],別名,0.1666666666666666,0.0
60,6414,6414,443223,1,0,0,"['2', '.', '6845']",座標・緯度,0.3333333333333333,0.0
61,2217,2217,183867,1,0,0,"['堰', '止', '湖']",形成時期,0.1666666666666666,0.0
62,3525,3525,2267968,0,0,1,"['1', '.', '2', '[', '2', ']', '▁', 'm']",透明度,0.3333333333333333,0.0
63,5903,5903,3517196,1,0,0,"['4', '.', '5', '▁', 'm']",成因,0.1666666666666666,0.0
64,3638,3638,2280167,0,1,1,"['観光', '業']",産業,0.5,0.0
65,6101,6101,376231,1,0,0,"['構造', '湖', '（', '断層', '湖', '）']",形成時期,0.1666666666666666,0.0
66,2256,2256,183867,1,1,1,['ヤマメ'],動物,0.6666666666666666,0.0
67,6882,6882,536433,1,1,0,"['40', '.', '74611']",座標・緯度,0.5,0.0
68,6897,6897,536433,1,0,0,['自然'],種類,0.1666666666666666,0.0
69,448,448,1114951,1,1,0,"['雲南', '省', '大', '理', '市', 'の', '西北']",所在地,0.8333333333333334,0.0
70,4719,4719,2966274,1,1,0,"['正保', '3', '年']",形成時期,0.5,0.0
71,3582,3582,2280167,1,1,0,"['北緯', '40', '.', '900', '度']",座標・緯度,0.5,0.0
72,1231,1231,143182,1,1,0,['ヤマメ'],動物,0.5,0.0
73,2200,2200,183867,0,0,0,['湖'],種類,0.1666666666666666,0.0
74,2499,2499,192531,0,0,0,"['同', '国東', 'アナトリア', '地方', 'の', 'ヴァン', '県', 'と', 'ビトリス', '県', 'に', 'またがる']",所在地,0.1666666666666666,0.0
75,6197,6197,407959,1,1,1,"['Solentiname', '列島']",島,0.5,0.0
76,4351,4351,27167,1,1,0,"['東経', '141', '.', '33333', '度']",座標・経度,0.6666666666666666,0.0
77,5125,5125,2978850,0,0,0,"['3', '億', '年', '以上', '前', 'から', '比較的', '最近']",形成時期,0.1666666666666666,0.0
78,4812,4812,2978850,0,0,0,['カワホトトギスガイ'],別名,0.1666666666666666,0.0
79,5862,5862,3517196,1,1,0,"['東経', '136', '.', '727278', '度']",座標・経度,0.6666666666666666,0.0
