index,page_id,system_dicision,crowd_dicision,correct,text,attribute,system_out,crowd_out
0,252336,0,0,0,['ヘラブナ'],別名,0.16666666666666666,0.0
1,687963,0,1,1,['ジュンサイ'],植物,0.5,1.0
2,951230,0,1,0,['漁業'],産業,0.16666666666666666,0.7
3,443223,1,1,1,"['カルデラ', '湖']",種類,0.8333333333333334,0.9
4,143182,0,1,0,"['ゆ', 'ー', 'ぷる']",観光地,0.16666666666666666,0.8
5,2392372,0,0,0,"['六', '角川']",流入・流出河川,0.16666666666666666,0.5
6,1054775,1,1,1,['アメリカ合衆国'],国,0.8333333333333334,1.0
7,54796,0,0,0,"['ヴォルガ', '川']",流入・流出河川,0.5,0.5
8,1772665,0,0,0,"['Salvelinus', '▁', 'boganidae']",別名,0.16666666666666666,0.1
9,196428,1,1,1,['コイ'],動物,0.6666666666666666,0.7
10,666291,1,1,1,"['カルデラ', '湖']",種類,0.8333333333333334,1.0
11,2978850,0,1,0,"['ワイオミング', '州']",所在地,0.3333333333333333,0.6
12,196428,0,1,0,"['およそ', '2', '万', '年', '前', '、', '海面', 'が', '著しく', '低下', 'し', 'て', 'い', 'た', '際', 'に', '形成', 'さ', 'れ', 'た', '下総台地', 'の', '侵食', '谷', 'が', '起源', 'で', '、', '縄文', '海', '進', '時', 'に', 'は', '地盤', '沈降', 'により', '溺れ谷', 'と', 'なり', '香取', '海', '（', '古', '鬼怒', '湾', '）', 'と', '呼ば', 'れ', 'た', '海', 'の', '一部', 'で', 'あっ', 'た', '。', '奈良', '時代', '頃', 'に', 'は', '香取', '海', 'の', '海', '退', 'とともに', '、', '鬼怒川', 'から', '洪水', 'によって', '運搬', 'さ', 'れ', 'た', '土砂', 'が', '沼', 'へ', '向っ', 'て', '流れ込む', 'など', 'し', 'て', '（', '三角州', 'の', '形成', 'が', '認め', 'られる', '）', '、', '次第に', '出口', 'が', 'せき止め', 'られ', '沼', 'が', '形成', 'さ', 'れ', 'た']",成因,0.16666666666666666,0.8
13,2493111,0,0,1,"['浅間', '川']",流入・流出河川,0.3333333333333333,0.4
14,2040069,1,1,1,"['マカリカリ', '塩', '湖']",別名,0.6666666666666666,1.0
15,2354120,1,1,1,"['163', '▁', 'km', '3']",貯水量,0.8333333333333334,1.0
16,2978850,0,0,0,"['自然', '橋']",橋・トンネル,0.16666666666666666,0.5
17,512545,0,0,1,['桜川'],流入・流出河川,0.5,0.5
18,679269,1,1,1,['淡水'],水質（淡水・汽水）,0.8333333333333334,1.0
19,196428,0,0,0,"['11', '.', '011', '.', '010', '.', '012', '.', '010', '.', '09', '.', '59', '.', '18', '.', '69', '.', '48', '.', '18', '.', '6118', '.', '58', '.', '68', '.', '91111', '北', '印旛沼', '中央', '9', '.', '510', '.', '012', '.', '011', '.', '010', '.', '09', '.', '48', '.', '89', '.', '09', '.', '49', '.', '89', '.', '211']",透明度,0.16666666666666666,0.1
20,536433,1,1,1,['人造湖'],種類,0.8333333333333334,1.0
21,951230,0,0,0,"['黄', '緑藻類']",動物,0.16666666666666666,0.3
22,145876,0,0,0,"['約', '2', '万', '年', '前']",形成時期,0.3333333333333333,0.2
23,666291,0,0,0,['ᠲᠠᠮᡠᠨᠣᠮᠣ'],動物,0.16666666666666666,0.0
24,3260984,0,1,0,"['カイロ', 'の', '南西', '80', 'km', '付近']",所在地,0.3333333333333333,1.0
25,1114951,0,0,0,['鹿'],別名,0.16666666666666666,0.0
26,951230,0,0,0,"['生態', '系']",動物,0.16666666666666666,0.0
27,2978850,0,0,0,"['水力', '発電']",産業,0.3333333333333333,0.5
28,530799,0,0,0,['タモロコ'],別名,0.16666666666666666,0.1
29,1427572,1,1,1,['沼'],種類,0.8333333333333334,1.0
30,2978850,0,0,0,['カワホトトギスガイ'],動物,0.16666666666666666,0.3
31,2267968,0,1,1,"['久美', 'の', '浜', '温泉']",観光地,0.5,1.0
32,2159741,0,0,0,"['北緯', '28', '度', '56', '分']",島,0.16666666666666666,0.5
33,54796,0,1,0,['ロシア'],国,0.16666666666666666,0.7
34,530799,0,1,0,['アベマキ'],植物,0.5,0.9
35,3415799,0,1,0,"['フレーザー', '川']",流入・流出河川,0.3333333333333333,0.8
36,192531,0,1,0,['エルジシュ'],湖岸の地域区分,0.16666666666666666,0.7
37,881742,0,0,0,"['ミジンコ', '類']",別名,0.16666666666666666,0.1
38,2354120,0,1,0,"['淡海', '耕地', '整理', '組合', 'により', '赤坂', '川', '上流', 'の', '窪地', 'に', '堰堤', 'を', '着手', '、', '大正', '12', '年', 'に', '1923', '年', 'に', '完成', 'し', 'た']",成因,0.16666666666666666,1.0
39,54796,0,0,0,['中央アジア'],所在地,0.16666666666666666,0.3
40,2384665,0,1,0,['昭和'],形成時期,0.16666666666666666,0.9
41,2267968,0,0,0,['小'],橋・トンネル,0.16666666666666666,0.1
42,344043,0,1,1,"['焼岳', 'が', '1915', '年', 'に', '噴火', 'し', '、', '泥', '流', 'によって', '梓川', 'が', '堰き', '止め', 'られ', 'て', '形成', 'さ', 'れ', 'た']",成因,0.16666666666666666,1.0
43,141263,0,1,0,['シジミ'],動物,0.16666666666666666,0.6
44,252336,1,1,1,"['多々良', '川']",流入・流出河川,0.8333333333333334,0.8
45,512545,0,0,0,"['東経', '140', '度', '27', '分', '35', '秒']",幅,0.16666666666666666,0.3
46,1054775,0,0,0,['クサリカワカマス'],別名,0.16666666666666666,0.1
47,196428,0,1,1,"['西部', '調節', '池']",構成する湖沼,0.3333333333333333,0.8
48,666576,0,0,0,['トモエガモ'],別名,0.16666666666666666,0.0
49,312243,0,1,0,['イストルミラマ'],湖岸の地域区分,0.16666666666666666,0.6
50,951230,0,0,0,['オーストラリア'],国,0.3333333333333333,0.0
51,951230,0,1,0,"['津堅島', '、', '久高島', 'を', '含む', 'サンゴ礁', 'によって', '囲ま', 'れ', 'た', '中城湾', 'の', '北部']",所在地,0.16666666666666666,0.9
52,143182,0,1,1,['観光'],産業,0.16666666666666666,1.0
53,141263,0,1,0,['貝'],動物,0.3333333333333333,0.7
54,183867,1,1,1,['ヒメマス'],動物,0.6666666666666666,0.9
55,2978850,0,1,0,"['リーズフェリー', '小', '地区']",湖岸の地域区分,0.16666666666666666,0.7
56,1570369,0,0,0,['ジブラルタル'],別名,0.16666666666666666,0.0
57,1054775,0,0,0,"['South', '▁', 'Pond']",別名,0.16666666666666666,0.2
58,1054775,0,1,1,"['ウェブスター', '湖']",別名,0.5,1.0
59,3249598,0,0,0,['ヒシクイ'],別名,0.16666666666666666,0.0
60,192531,0,1,1,"['430', 'キロメートル']",周囲長,0.5,1.0
61,1250740,0,0,0,"['ジャンボ', 'スズキ']",別名,0.16666666666666666,0.2
62,192531,0,1,0,"['12', ',', '500', '▁', 'km', '2']",面積,0.16666666666666666,1.0
63,192531,0,0,0,"['1', '▁', '岸']",湖岸の地域区分,0.16666666666666666,0.1
