text,attribute,model prediction,model choise,answer,model output
多々良沼,公園,0,crowd,0,"[0.053806547075510025, 0.8220555186271667, 0.12413797527551651]"
約50万～35万年前,形成時期,0,crowd,1,"[0.013470038771629333, 0.8938612341880798, 0.09266868233680725]"
東経138度16分,幅,0,annotator,0,"[0.0017389149870723486, 0.4397299587726593, 0.5585311055183411]"
東経137.84333度,座標・経度,0,annotator,0,"[0.0011967243626713753, 0.42844781279563904, 0.5703554749488831]"
トルクメンバシ,湖岸の地域区分,0,crowd,1,"[0.0555189773440361, 0.8701923489570618, 0.07428866624832153]"
耳海,動物,0,crowd,0,"[0.01535587478429079, 0.9172009229660034, 0.06744313985109329]"
浮島,島,0,crowd,0,"[0.06454136967658997, 0.8400281071662903, 0.09543050080537796]"
ザカフカース社会主義連邦ソビエト共和国,国,0,crowd,1,"[0.008972680196166039, 0.7043796181678772, 0.2866477370262146]"
北緯40度56分,座標・緯度,1,crowd,0,"[0.002573966281488538, 0.5313544273376465, 0.46607163548469543]"
75▁▁m,水面標高,1,crowd,1,"[0.01268086675554514, 0.960549533367157, 0.02676958404481411]"
上田市,湖岸の地域区分,0,crowd,0,"[0.019768813624978065, 0.8990363478660583, 0.08119487017393112]"
西印旛沼,構成する湖沼,0,crowd,0,"[0.03278899937868118, 0.8412832021713257, 0.12592779099941254]"
中,所在地,0,crowd,0,"[0.029927313327789307, 0.8814088702201843, 0.08866377174854279]"
フィッシング,動物,0,crowd,0,"[0.06669443845748901, 0.8436968922615051, 0.08960870653390884]"
火山,形成時期,0,crowd,0,"[0.020093100145459175, 0.9116241931915283, 0.06828272342681885]"
170▁m,最大水深,1,crowd,1,"[0.011240926571190357, 0.9552205204963684, 0.033538512885570526]"
約2km,周囲長,1,crowd,1,"[0.025641055777668953, 0.8478051424026489, 0.12655378878116608]"
東経138度33分39秒,幅,0,annotator,0,"[0.0008578251581639051, 0.4131743609905243, 0.5859678387641907]"
塩湖,種類,0,crowd,0,"[0.015622868202626705, 0.9121233820915222, 0.07225377857685089]"
ミル湖,別名,0,crowd,0,"[0.02671945095062256, 0.8716884255409241, 0.10159217566251755]"
北緯35度20分39秒,島,0,annotator,0,"[0.000867336115334183, 0.4434790313243866, 0.5556536316871643]"
湖,種類,0,crowd,1,"[0.025613488629460335, 0.9002779126167297, 0.07410851866006851]"
ため池,種類,0,crowd,0,"[0.06810113787651062, 0.8211876749992371, 0.11071114987134933]"
人工湖,種類,0,crowd,1,"[0.039388950914144516, 0.8441792130470276, 0.11643186956644058]"
北緯40度44分46秒,島,0,annotator,0,"[0.0007167246658354998, 0.4127753973007202, 0.5865079164505005]"
清久工業団地のほぼ,所在地,0,crowd,0,"[0.01749497652053833, 0.7888816595077515, 0.1936233788728714]"
京都市北区上賀茂深泥池町[1],所在地,0,crowd,0,"[0.020860055461525917, 0.9418525695800781, 0.03728735074400902]"
タモロコ,動物,1,crowd,1,"[0.068971648812294, 0.8290306329727173, 0.1019977480173111]"
共和,国,0,crowd,0,"[0.02871091105043888, 0.8769634366035461, 0.09432559460401535]"
ロチェスター,湖岸の地域区分,1,crowd,1,"[0.05938589945435524, 0.847210168838501, 0.09340394288301468]"
Hvítárlón,別名,0,crowd,1,"[0.05428476631641388, 0.8643177151679993, 0.08139746636152267]"
東経145.35000度,座標・経度,0,annotator,0,"[0.0006240257644094527, 0.39161351323127747, 0.6077623963356018]"
石油産業,産業,0,crowd,1,"[0.028010770678520203, 0.8527443408966064, 0.11924488842487335]"
km最大水深7[1,周囲長,0,crowd,0,"[0.015257957391440868, 0.9131950736045837, 0.07154694199562073]"
淡水,水質（淡水・汽水）,1,crowd,1,"[0.07999272644519806, 0.8198628425598145, 0.10014445334672928]"
古代の火山噴火により流出河川が遮断されたため塩湖,成因,0,crowd,0,"[0.005623797886073589, 0.9213968515396118, 0.07297934591770172]"
北緯44度,島,0,crowd,0,"[0.05372166633605957, 0.8321508169174194, 0.1141274943947792]"
ハクチョウ,動物,1,crowd,1,"[0.06757976859807968, 0.8307726383209229, 0.10164755582809448]"
228▁m,水深,0,crowd,0,"[0.04710587114095688, 0.8729747533798218, 0.07991942018270493]"
中華人民共和国,国,1,crowd,1,"[0.02280459925532341, 0.8950490355491638, 0.08214633911848068]"
38.633,座標・緯度,0,crowd,0,"[0.01053638942539692, 0.9343104958534241, 0.05515306070446968]"
水鳥,動物,0,crowd,0,"[0.07356555759906769, 0.8213109970092773, 0.10512344539165497]"
植物群落,構成する湖沼,0,crowd,0,"[0.03582698851823807, 0.8523382544517517, 0.11183474957942963]"
賀茂川,流入・流出河川,1,crowd,0,"[0.054853711277246475, 0.8420167565345764, 0.1031295508146286]"
湖,種類,1,crowd,1,"[0.019054563716053963, 0.9150319695472717, 0.06591343879699707]"
滝ノ沢,流入・流出河川,1,crowd,1,"[0.04938848689198494, 0.8718097805976868, 0.07880174368619919]"
古墳,観光地,0,crowd,0,"[0.030462155118584633, 0.9279263019561768, 0.04161153361201286]"
アルゼンチン,国,0,crowd,0,"[0.02440742962062359, 0.8901524543762207, 0.08544015139341354]"
36.50083,座標・緯度,0,crowd,0,"[0.013448890298604965, 0.9252058267593384, 0.06134532019495964]"
渡り鳥,動物,0,crowd,0,"[0.057575080543756485, 0.8549918532371521, 0.08743308484554291]"
1982年,形成時期,0,crowd,0,"[0.03058580681681633, 0.8364897966384888, 0.1329243928194046]"
43.700,座標・緯度,0,crowd,0,"[0.028531307354569435, 0.9190648198127747, 0.052403803914785385]"
赤,構成する湖沼,0,crowd,0,"[0.02495746873319149, 0.8878905773162842, 0.08715195953845978]"
氷河湖,形成時期,0,crowd,0,"[0.057263463735580444, 0.8376637101173401, 0.10507285594940186]"
北緯28.933度,座標・緯度,0,annotator,0,"[0.0009066720958799124, 0.40579113364219666, 0.5933022499084473]"
チャウバナガンガマウグ湖,別名,0,crowd,0,"[0.05261273309588432, 0.8391221761703491, 0.10826510936021805]"
8910111213141516171819上水道,周囲長,0,crowd,0,"[0.06521812081336975, 0.806384265422821, 0.1283976286649704]"
)▁[3]水量12,成因,0,crowd,0,"[0.011102491058409214, 0.9578812718391418, 0.031016213819384575]"
140.25000,座標・経度,0,crowd,0,"[0.01319141685962677, 0.9292631149291992, 0.05754543095827103]"
Markermeer▁マルケルメーア,読み,0,crowd,0,"[0.04144686087965965, 0.8877254724502563, 0.07082761824131012]"
サワギキョウ,植物,0,crowd,1,"[0.07140763103961945, 0.8256046175956726, 0.10298772156238556]"
922▁ft,水面標高,0,crowd,1,"[0.053884267807006836, 0.8406167030334473, 0.1054990142583847]"
134.0939722,座標・経度,0,crowd,0,"[0.038086436688899994, 0.8624351024627686, 0.09947849065065384]"
オオセグロカモメ,別名,0,crowd,0,"[0.06777819246053696, 0.841521680355072, 0.09070008248090744]"
ショウジョウバカマ,植物,1,crowd,1,"[0.0702478289604187, 0.8340998291969299, 0.09565229713916779]"
イラン,国,1,crowd,1,"[0.027608109638094902, 0.8831572532653809, 0.08923465758562088]"
4.0▁m,透明度,1,crowd,1,"[0.018845319747924805, 0.9020207524299622, 0.07913390547037125]"
ヌー,別名,0,crowd,0,"[0.061377961188554764, 0.8521279096603394, 0.0864940881729126]"
"24,321,000▁エーカー・フィート",貯水量,0,crowd,1,"[0.012227083556354046, 0.9499950408935547, 0.03777788206934929]"
武藏小埼沼,別名,0,crowd,0,"[0.05104663595557213, 0.8407474160194397, 0.1082058772444725]"
バルカン半島,所在地,0,crowd,1,"[0.05595529451966286, 0.860190749168396, 0.08385389298200607]"
カナダ,国,1,crowd,0,"[0.02034926228225231, 0.911393404006958, 0.06825729459524155]"
キンクロハジロ,別名,0,crowd,0,"[0.06760887801647186, 0.8344680666923523, 0.09792300313711166]"
貯水池,種類,0,crowd,0,"[0.06557489186525345, 0.8427959084510803, 0.09162917733192444]"
瀬之波橋,橋・トンネル,0,crowd,0,"[0.023616107180714607, 0.8607218265533447, 0.11566205322742462]"
南緯22度47分38秒,座標・緯度,0,annotator,0,"[0.0007869547698646784, 0.4268825352191925, 0.5723305344581604]"
トルクメニ,湖岸の地域区分,0,crowd,0,"[0.06243239343166351, 0.8504870533943176, 0.08708059787750244]"
8.1km,長さ,1,crowd,0,"[0.028004411607980728, 0.9278948903083801, 0.04410071298480034]"
水系,流入・流出河川,0,crowd,0,"[0.023490672931075096, 0.8959043025970459, 0.08060505241155624]"
