text,attribute,model answer,model choise,answer
多々良沼,公園,0,crowd,0
約50万～35万年前,形成時期,1,crowd,1
東経138度16分,幅,0,annotator,0
東経137.84333度,座標・経度,0,annotator,0
トルクメンバシ,湖岸の地域区分,1,crowd,1
耳海,動物,0,crowd,0
浮島,島,0,crowd,0
ザカフカース社会主義連邦ソビエト共和国,国,1,crowd,1
北緯40度56分,座標・緯度,1,crowd,0
75▁▁m,水面標高,1,crowd,1
上田市,湖岸の地域区分,1,crowd,0
西印旛沼,構成する湖沼,0,crowd,0
中,所在地,0,crowd,0
フィッシング,動物,0,crowd,0
火山,形成時期,0,crowd,0
170▁m,最大水深,1,crowd,1
約2km,周囲長,1,crowd,1
東経138度33分39秒,幅,0,annotator,0
塩湖,種類,1,crowd,0
ミル湖,別名,0,crowd,0
北緯35度20分39秒,島,0,annotator,0
湖,種類,1,crowd,1
ため池,種類,0,crowd,0
人工湖,種類,1,crowd,1
北緯40度44分46秒,島,0,annotator,0
清久工業団地のほぼ,所在地,0,crowd,0
京都市北区上賀茂深泥池町[1],所在地,0,crowd,0
タモロコ,動物,1,crowd,1
共和,国,0,crowd,0
ロチェスター,湖岸の地域区分,1,crowd,1
Hvítárlón,別名,0,crowd,1
東経145.35000度,座標・経度,0,annotator,0
石油産業,産業,1,crowd,1
km最大水深7[1,周囲長,0,crowd,0
淡水,水質（淡水・汽水）,1,crowd,1
古代の火山噴火により流出河川が遮断されたため塩湖,成因,0,crowd,0
北緯44度,島,0,crowd,0
ハクチョウ,動物,1,crowd,1
228▁m,水深,0,crowd,0
中華人民共和国,国,1,crowd,1
38.633,座標・緯度,0,crowd,0
水鳥,動物,0,crowd,0
植物群落,構成する湖沼,0,crowd,0
賀茂川,流入・流出河川,1,crowd,0
湖,種類,1,crowd,1
滝ノ沢,流入・流出河川,1,crowd,1
古墳,観光地,0,crowd,0
アルゼンチン,国,1,crowd,0
36.50083,座標・緯度,1,crowd,0
渡り鳥,動物,1,crowd,0
1982年,形成時期,0,crowd,0
43.700,座標・緯度,0,crowd,0
赤,構成する湖沼,0,crowd,0
氷河湖,形成時期,0,crowd,0
北緯28.933度,座標・緯度,0,annotator,0
チャウバナガンガマウグ湖,別名,0,crowd,0
8910111213141516171819上水道,周囲長,0,crowd,0
)▁[3]水量12,成因,0,crowd,0
140.25000,座標・経度,0,crowd,0
Markermeer▁マルケルメーア,読み,0,crowd,0
サワギキョウ,植物,1,crowd,1
922▁ft,水面標高,1,crowd,1
134.0939722,座標・経度,0,crowd,0
オオセグロカモメ,別名,0,crowd,0
ショウジョウバカマ,植物,1,crowd,1
イラン,国,1,crowd,1
4.0▁m,透明度,1,crowd,1
ヌー,別名,0,crowd,0
"24,321,000▁エーカー・フィート",貯水量,0,crowd,1
武藏小埼沼,別名,0,crowd,0
バルカン半島,所在地,1,crowd,1
カナダ,国,1,crowd,0
キンクロハジロ,別名,0,crowd,0
貯水池,種類,0,crowd,0
瀬之波橋,橋・トンネル,1,crowd,0
南緯22度47分38秒,座標・緯度,0,annotator,0
トルクメニ,湖岸の地域区分,0,crowd,0
8.1km,長さ,1,crowd,0
水系,流入・流出河川,0,crowd,0
430▁km,周囲長,0,crowd,1
北緯38.633度,座標・緯度,0,annotator,0
オシリスの湖,動物,0,crowd,0
"マガジャネス・イ・デ・ラ・アンタルティカ・チレーナ州,▁ティエラ・デル・フエゴ県",所在地,0,crowd,0
93.7m,水面標高,1,crowd,1
ビオビオ州トルパン東部,所在地,1,crowd,1
45ft,最大水深,1,crowd,1
ニホンマムシ,別名,0,crowd,0
性空上人が拓いたと言われる東霧島（つまきりしま）神社,名前の謂れ,0,crowd,0
利根川,流入・流出河川,1,crowd,1
ベニアマモ属,植物,0,crowd,0
断層活動により隆起した古富士泥流の窪地を拡大させて形成された,成因,1,crowd,0
Μοἵρις,動物,0,crowd,0
無人島,島,0,crowd,0
メダカ,別名,0,crowd,0
東経138.56083度,座標・経度,0,annotator,0
ふるさと広場,観光地,0,crowd,1
支笏湖観光センター,観光地,1,crowd,1
鬼怒川,流入・流出河川,1,crowd,0
