alpha,model_accuracy,model_precision,model_recall,model_f1,model_system_count,model_crowd_count,model_annotator_count,random_accuracy,random_f1,random_precision,random_recall
0.0,0.8117782909930716,0.7544642857142857,0.6101083032490975,0.6746506986027944,0,790,76,0.7876905311778292,0.7526964331393502,0.7494630806666138,0.7565057144292595
0.1,0.812933025404157,0.757847533632287,0.6101083032490975,0.676,0,788,78,0.7883025404157042,0.7534314834849042,0.7502094046692371,0.7572246268562814
0.2,0.8187066974595842,0.7727272727272727,0.6137184115523465,0.6841046277665995,0,779,87,0.791027713625866,0.7565594891569496,0.7532550121664943,0.7604621710612416
0.3,0.8187066974595842,0.7752293577981652,0.6101083032490975,0.6828282828282829,0,779,87,0.791027713625866,0.7565594891569496,0.7532550121664943,0.7604621710612416
0.4,0.8187066974595842,0.7752293577981652,0.6101083032490975,0.6828282828282829,3,775,88,0.7901039260969973,0.7556418275348782,0.7524994024014271,0.7593344703993927
0.5,0.8187066974595842,0.7752293577981652,0.6101083032490975,0.6828282828282829,3,774,89,0.7904849884526556,0.7560760689299444,0.7529229618824054,0.7597852108900973
0.6,0.8187066974595842,0.7727272727272727,0.6137184115523465,0.6841046277665995,9,766,91,0.788579676674365,0.754196990448897,0.7513884206848788,0.7574669583587843
0.7,0.7702078521939953,0.6455223880597015,0.6245487364620939,0.6348623853211011,243,525,98,0.7108660508083143,0.6782343084851701,0.6851359460138639,0.6744558347029453
0.8,0.7644341801385681,0.6336996336996337,0.6245487364620939,0.6290909090909091,283,483,100,0.6978290993071594,0.6659143529768027,0.6740889839598411,0.6623331163477282
0.9,0.6893764434180139,0.5128205128205128,0.5776173285198556,0.5432937181663837,454,313,99,0.6399076212471132,0.6122245776187001,0.6248630426654737,0.6120687750423075
1.0,0.8371824480369515,0.7328767123287672,0.7725631768953068,0.7521968365553604,109,374,383,0.8333371824480373,0.8108905305485312,0.8150608018240549,0.8075178602885549
